"file","reason"
"fit_SC_cond002_rep017.rds","empty stanfit"
"fit_SC_cond002_rep023.rds","empty stanfit"
"fit_SC_cond002_rep075.rds","empty stanfit"
"fit_SC_cond002_rep201.rds","empty stanfit"
"fit_SC_cond002_rep209.rds","empty stanfit"
"fit_SC_cond002_rep275.rds","empty stanfit"
"fit_SC_cond002_rep410.rds","empty stanfit"
"fit_SC_cond002_rep473.rds","empty stanfit"
"fit_SG_cond001_rep002.rds","empty stanfit"
"fit_SG_cond001_rep004.rds","empty stanfit"
"fit_SG_cond001_rep090.rds","empty stanfit"
"fit_SG_cond001_rep091.rds","empty stanfit"
"fit_SG_cond001_rep321.rds","empty stanfit"
"fit_SG_cond001_rep413.rds","empty stanfit"
"fit_SG_cond001_rep417.rds","empty stanfit"
