"T_fac","dgp_alpha1_fac","dgp_alpha2_fac","dgp_copula_fac","dgp_tau_fac","fit_type","fitted_model_code","parameter","param_category","n_reps_param","true_value","avg_est","sd_est","avg_bias","med_bias","avg_rel_bias","med_rel_bias","rmse","mae","coverage","avg_post_sd","avg_ci_width","avg_Rhat","pct_rhat_high","med_n_eff","n_reps_sampler","avg_divergences","pct_reps_diverged","avg_maxdepth_exceed","avg_eFMI"
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi11","VAR Coeffs",492,0.5,0.498160774494543,0.0280078252241479,-0.00183922550545671,-0.000632475734109544,-0.00367845101091342,-0.00126495146821909,0.0280397331925787,0.0224432106914907,0.963414634146341,0.0282616194391911,0.110872599324859,1.00035620730488,0,4866.79719189293,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi12","VAR Coeffs",492,0.3,0.299284741614035,0.0273094411589488,-0.000715258385964604,-0.000512070199045422,-0.00238419461988201,-0.00170690066348474,0.0272910480923702,0.0217254214926752,0.945121951219512,0.0282844763805675,0.111010658686266,1.00034626333979,0,4847.83825685125,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi21","VAR Coeffs",492,0.3,0.301664994210239,0.0179988034639058,0.00166499421023938,0.00129056345338416,0.00554998070079792,0.00430187817794719,0.0180574273587237,0.0142622729958388,0.957317073170732,0.0185983834782842,0.072994208207877,1.000335446585,0,4876.82252878449,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi22","VAR Coeffs",492,0.5,0.497379090775027,0.0189043961057563,-0.00262090922497346,-0.00244978244230637,-0.00524181844994691,-0.00489956488461274,0.0190661737880114,0.0150941698080564,0.945121951219512,0.0186009723874672,0.0729962036377786,1.00032139569529,0,4864.82737572435,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","mu[1]","Intercepts",492,0,-0.00189207673134119,0.0419679695091563,-0.00189207673134119,-0.00347239839915778,NA,NA,0.0419679701648795,0.0339022537815716,0.959349593495935,0.042740918851849,0.167500641343095,1.00034672754864,0,4705.1079814495,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","mu[2]","Intercepts",492,0,-0.000225112859868655,0.0438100594524783,-0.000225112859868655,0.000447247000790866,NA,NA,0.0437660933309995,0.0351008881346266,0.939024390243902,0.0427015014160551,0.167301369546294,1.00034287303178,0,4714.67492240172,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","theta","Copula Params",492,1.33333333333333,1.34192952741578,0.126860074083519,0.00859619408244346,8.18674346545478e-05,0.0064471455618326,6.14005759909109e-05,0.127022291851607,0.102745158047944,0.961382113821138,0.129725134190673,0.50784688812141,1.00024819427556,0,5300.60918794767,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","tau","Copula Params",492,0.4,0.399789496497962,0.0226166460407395,-0.000210503502038083,-0.000893684901924402,-0.000526258755095207,-0.002234212254811,0.022594630555545,0.0184080771411247,0.961382113821138,0.0231900365594308,0.0908084465608072,1.00025027443226,0,5292.89233626946,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","xi[1]","Residual Params",492,1.30168077588186,1.29907082770582,0.0475917879846139,-0.00260994817604094,-0.00571591310182218,-0.00200506009184377,-0.00439117885715858,0.0476149818718495,0.0383260193721214,0.965447154471545,0.0486375542595576,0.190666659996169,1.00044574127914,0,4320.2474386387,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","xi[2]","Residual Params",492,-1.30168077588186,-1.29849008973247,0.0483323471133816,0.00319068614939119,0.00336551751224989,0.00245120478731015,0.00258551679844072,0.048388513678812,0.0394539440211519,0.945121951219512,0.047325169966527,0.18543940947199,1.00032798713422,0,4772.00693152028,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","omega[1]","Residual Params",492,1.64145448986574,1.63946699585051,0.0579660264548846,-0.0019874940152296,-0.00594541327231335,-0.00121081274412437,-0.0036220396660523,0.0579411853928781,0.0464564670849779,0.959349593495935,0.0590628214027141,0.231381917799982,1.00044565999313,0,4304.42730734348,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","omega[2]","Residual Params",492,1.64145448986574,1.63807219628311,0.0590135409600469,-0.00338229358263233,-0.00391109939311385,-0.00206054666974592,-0.00238270352133476,0.0590504824304502,0.0482422718705117,0.947154471544715,0.05786342147639,0.226745674158721,1.0003236089586,0,4797.07118457038,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","alpha[1]","Residual Params",492,-9,-9.57802986821181,2.33086728841832,-0.578029868211813,-0.149302992680735,-0.0642255409124237,-0.0165892214089705,2.39917033140212,1.6382017361264,0.949186991869919,2.22862039895239,8.45516113545671,1.00042241593316,0,5063.71023051113,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
