Model,T,skew_level,Clean,Problematic,Failed/Error
NG,50,moderateSN,2400,0,0
NG,100,moderateSN,2400,0,0
NG,200,moderateSN,2400,0,0
NG,50,strongSN,2400,0,0
NG,100,strongSN,2400,0,0
NG,200,strongSN,2400,0,0
NG,50,extremeCHI,2400,0,0
NG,100,extremeCHI,2400,0,0
NG,200,extremeCHI,2400,0,0
SG,50,moderateSN,2370,30,0
SG,100,moderateSN,2308,92,0
SG,200,moderateSN,2318,82,0
SG,50,strongSN,2293,107,0
SG,100,strongSN,2103,297,0
SG,200,strongSN,2336,64,0
SG,50,extremeCHI,1831,569,0
SG,100,extremeCHI,1648,751,1
SG,200,extremeCHI,1500,899,1
