Model,param,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_bias
NG,sigma[1],moderateSN,++,50,0.3,A,200,0.009458627778134623,0.91,0.12573126744519156,0.10602865012386982,0.1253749814513605,-0.019346331327490682,0.009458627778134623
NG,sigma[2],moderateSN,++,50,0.3,A,200,0.010667593647536847,0.935,0.11302312244878995,0.1059908341603241,0.11251857026218028,-0.0065277361018561825,0.010667593647536847
NG,mu[1],moderateSN,++,50,0.3,A,200,-0.014162399506498231,0.945,0.15966301779655453,0.1500569855020689,0.15903366213516318,-0.008976676633094288,-0.014162399506498231
NG,mu[2],moderateSN,++,50,0.3,A,200,0.0012938532879849182,0.935,0.1595785863987397,0.15048709858660905,0.15957334107139953,-0.00908624248479048,0.0012938532879849182
NG,phi11,moderateSN,++,50,0.3,A,200,-0.14440344643321903,0.96,0.14506139996272477,0.1387431252116394,0.1330655210956578,0.005677604115981588,-0.05776137857328762
NG,phi12,moderateSN,++,50,0.3,A,200,-0.040775947058887055,0.96,0.1366862748733177,0.14070712246960207,0.13662544038413443,0.004081682085467636,-0.004077594705888707
NG,phi21,moderateSN,++,50,0.3,A,200,-0.06822971688043147,0.94,0.1382834361316095,0.14025990859734727,0.1381150091978026,0.002144899399544681,-0.006822971688043148
NG,phi22,moderateSN,++,50,0.3,A,200,-0.1625304914151518,0.95,0.15079251599253454,0.1399367914500538,0.13605806546109153,0.0038787259889622727,-0.06501219656606072
NG,rho,moderateSN,++,50,0.3,A,200,-0.12512427806019577,0.94,0.12975848518242517,0.12714663837373813,0.12421037328029404,0.002936265093444093,-0.03753728341805873
NG,sigma[1],moderateSN,++,50,0.5,A,200,0.00295418524515975,0.925,0.10839443683382102,0.10406447194241168,0.10835417262873864,-0.004289700686326961,0.00295418524515975
NG,sigma[2],moderateSN,++,50,0.5,A,200,0.007475110895818985,0.93,0.10990749124287826,0.10449371164371206,0.10965299516382838,-0.005159283520116326,0.007475110895818985
NG,mu[1],moderateSN,++,50,0.5,A,200,-0.008619266994752,0.945,0.16680882421276222,0.1487785467787902,0.16658599002232266,-0.01780744324353245,-0.008619266994752
NG,mu[2],moderateSN,++,50,0.5,A,200,0.003972237857434218,0.94,0.16431651944437395,0.14958169847285382,0.1642684993804877,-0.014686800907633885,0.003972237857434218
NG,phi11,moderateSN,++,50,0.5,A,200,-0.19223745592757988,0.92,0.17391205279764074,0.14946192327715435,0.15598898613186787,-0.006527062854713522,-0.07689498237103196
NG,phi12,moderateSN,++,50,0.5,A,200,-0.04618423948238155,0.95,0.14417646518059488,0.14985827948490743,0.14410247489965475,0.005755804585252683,-0.004618423948238155
NG,phi21,moderateSN,++,50,0.5,A,200,-0.013016758701232244,0.955,0.14261242724200748,0.1511721378251289,0.142606486682009,0.008565651143119885,-0.0013016758701232245
NG,phi22,moderateSN,++,50,0.5,A,200,-0.2018938430598018,0.94,0.16439574633475038,0.14978195900403918,0.14319281264954134,0.006589146354497838,-0.08075753722392072
NG,rho,moderateSN,++,50,0.5,A,200,-0.11560054794789976,0.89,0.12793636212232629,0.11242870611149099,0.11413518774519686,-0.0017064816337058752,-0.05780027397394988
NG,sigma[1],moderateSN,++,50,0.3,B,200,0.007663798215774161,0.915,0.12305448672602878,0.10587336432384693,0.12281560528008764,-0.01694224095624071,0.007663798215774161
NG,sigma[2],moderateSN,++,50,0.3,B,200,0.01155019664981278,0.895,0.1213089213050118,0.10610070347053949,0.12075780449120545,-0.01465710102066596,0.01155019664981278
NG,mu[1],moderateSN,++,50,0.3,B,200,0.004793290049733255,0.93,0.17007678302249352,0.14983245090795044,0.17000922473142294,-0.020176773823472494,0.004793290049733255
NG,mu[2],moderateSN,++,50,0.3,B,200,0.0075894152704078606,0.98,0.1468612235570687,0.15006209780268043,0.14666499159831092,0.0033971062043695044,0.0075894152704078606
NG,phi11,moderateSN,++,50,0.3,B,200,-0.16581460893531652,0.92,0.15062976021888863,0.12876031988380185,0.11988429042767598,0.008876029456125867,-0.09119803491442409
NG,phi12,moderateSN,++,50,0.3,B,200,-0.02463817153024707,0.955,0.1406371298225994,0.14565312666473984,0.1406155464014386,0.005037580263301228,-0.0024638171530247084
NG,phi21,moderateSN,++,50,0.3,B,200,-0.1407340415367321,0.965,0.12432539028834293,0.1304572195029863,0.12352628046645041,0.006930939036535896,-0.014073404153673212
NG,phi22,moderateSN,++,50,0.3,B,200,-0.20090865714345135,0.945,0.147224111273369,0.14511087150618754,0.138391368618257,0.006719502887930551,-0.05022716428586284
NG,rho,moderateSN,++,50,0.3,B,200,-0.19810050377634464,0.935,0.1458929008901752,0.128336122632276,0.13323961748095325,-0.004903494848677248,-0.05943015113290339
NG,sigma[1],moderateSN,++,50,0.5,B,200,0.010327494740968628,0.905,0.12350542787127304,0.10475448183801488,0.12307287908406747,-0.018318397246052595,0.010327494740968628
NG,sigma[2],moderateSN,++,50,0.5,B,200,0.00895893280926692,0.94,0.10913219707292247,0.10458490353606342,0.10876384491586454,-0.004178941379801113,0.00895893280926692
NG,mu[1],moderateSN,++,50,0.5,B,200,-0.0010113865532675671,0.905,0.17566056313675865,0.15058428620754735,0.17565765152353324,-0.02507336531598589,-0.0010113865532675671
NG,mu[2],moderateSN,++,50,0.5,B,200,0.005018648171933599,0.915,0.15998903044487758,0.1503087958808835,0.15991029683300045,-0.009601500952116954,0.005018648171933599
NG,phi11,moderateSN,++,50,0.5,B,200,-0.1662300618003235,0.95,0.14941191948532817,0.135864735857035,0.11817406892729482,0.017690666929740195,-0.09142653399017793
NG,phi12,moderateSN,++,50,0.5,B,200,0.12407606163594888,0.97,0.1440207989875212,0.15615421756023024,0.14348533670829614,0.0126688808519341,0.012407606163594887
NG,phi21,moderateSN,++,50,0.5,B,200,-0.2918090155281777,0.94,0.13443102965437137,0.13705364178385873,0.13122567095846466,0.005827970825394074,-0.02918090155281777
NG,phi22,moderateSN,++,50,0.5,B,200,-0.21426518428331484,0.97,0.143559610482014,0.15481409885574063,0.13319164270704037,0.02162245614870026,-0.05356629607082871
NG,rho,moderateSN,++,50,0.5,B,200,-0.10576354211675149,0.945,0.11610186563869676,0.11218634495924353,0.10335938029281876,0.00882696466642477,-0.05288177105837574
NG,sigma[1],moderateSN,+-,50,0.3,A,200,0.014769375655244086,0.895,0.12096762490404794,0.10651608379452207,0.1200626162370316,-0.013546532442509529,0.014769375655244086
NG,sigma[2],moderateSN,+-,50,0.3,A,200,0.0022335042287601184,0.865,0.1259579992839342,0.10505729931917956,0.12593819532799283,-0.020880896008813266,0.0022335042287601184
NG,mu[1],moderateSN,+-,50,0.3,A,200,-6.697508497940126e-4,0.93,0.16295704677776518,0.15147322152768775,0.16295567043932516,-0.01148244891163741,-6.697508497940126e-4
NG,mu[2],moderateSN,+-,50,0.3,A,200,0.006092035504325034,0.945,0.17273924449864259,0.1496132469601888,0.17263178645132496,-0.023018539491136164,0.006092035504325034
NG,phi11,moderateSN,+-,50,0.3,A,200,-0.22551326118630508,0.92,0.16038217774657904,0.14032673046743846,0.13261012775574135,0.007716602711697107,-0.09020530447452203
NG,phi12,moderateSN,+-,50,0.3,A,200,-0.1769380498383191,0.96,0.1406520501284659,0.14380013060497665,0.13953468554640674,0.0042654450585699055,-0.01769380498383191
NG,phi21,moderateSN,+-,50,0.3,A,200,-0.26727678689263024,0.965,0.13735899060305246,0.1399995087968093,0.1347335277181332,0.005265981078676096,-0.026727678689263026
NG,phi22,moderateSN,+-,50,0.3,A,200,-0.21427492255002503,0.935,0.15914175167613986,0.14066555128026373,0.1340891432485833,0.006576408031680442,-0.08570996902001002
NG,rho,moderateSN,+-,50,0.3,A,200,-0.13039630416046435,0.965,0.1180016462842478,0.127923742803099,0.1113287962447676,0.016594946558331408,-0.03911889124813931
NG,sigma[1],moderateSN,+-,50,0.5,A,200,0.012748244723557685,0.92,0.11417292862459456,0.10496120032043672,0.11345897887423916,-0.008497778553802432,0.012748244723557685
NG,sigma[2],moderateSN,+-,50,0.5,A,200,-0.017196826126764108,0.915,0.11476605285551665,0.10224575579449567,0.11347033118485679,-0.011224575390361119,-0.017196826126764108
NG,mu[1],moderateSN,+-,50,0.5,A,200,-0.006149071526140782,0.935,0.166595409477398,0.15104029242861328,0.16648188903994426,-0.015441596611330988,-0.006149071526140782
NG,mu[2],moderateSN,+-,50,0.5,A,200,-0.008768458664458469,0.905,0.18446311822445827,0.1466070946449429,0.18425459592026505,-0.037647501275322154,-0.008768458664458469
NG,phi11,moderateSN,+-,50,0.5,A,200,-0.15195123933193064,0.955,0.14613582717671642,0.1476477675800702,0.13289624269745773,0.014751524882612471,-0.060780495732772256
NG,phi12,moderateSN,+-,50,0.5,A,200,-0.23767813676622712,0.95,0.15295811886825603,0.1524638198815966,0.15110022223924385,0.0013635976423527485,-0.023767813676622715
NG,phi21,moderateSN,+-,50,0.5,A,200,-0.00917253203907311,0.945,0.14471784103847607,0.14474818578492538,0.14471493413396405,3.325165096132454e-5,-9.172532039073114e-4
