Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
NG,sigma[1],Clean,moderateSN,++,50,0.3,A,200,0.009458627778134623,0.91,0.12573126744519156,0.10602865012386982,0.1253749814513605,-0.019346331327490682
NG,sigma[2],Clean,moderateSN,++,50,0.3,A,200,0.010667593647536847,0.935,0.11302312244878995,0.1059908341603241,0.11251857026218028,-0.0065277361018561825
NG,mu[1],Clean,moderateSN,++,50,0.3,A,200,-0.014162399506498231,0.945,0.15966301779655453,0.1500569855020689,0.15903366213516318,-0.008976676633094288
NG,mu[2],Clean,moderateSN,++,50,0.3,A,200,0.0012938532879849182,0.935,0.1595785863987397,0.15048709858660905,0.15957334107139953,-0.00908624248479048
NG,phi11,Clean,moderateSN,++,50,0.3,A,200,-0.14440344643321903,0.96,0.14506139996272477,0.1387431252116394,0.1330655210956578,0.005677604115981588
NG,phi12,Clean,moderateSN,++,50,0.3,A,200,-0.040775947058887055,0.96,0.1366862748733177,0.14070712246960207,0.13662544038413443,0.004081682085467636
NG,phi21,Clean,moderateSN,++,50,0.3,A,200,-0.06822971688043147,0.94,0.1382834361316095,0.14025990859734727,0.1381150091978026,0.002144899399544681
NG,phi22,Clean,moderateSN,++,50,0.3,A,200,-0.1625304914151518,0.95,0.15079251599253454,0.1399367914500538,0.13605806546109153,0.0038787259889622727
NG,rho,Clean,moderateSN,++,50,0.3,A,200,-0.12512427806019577,0.94,0.12975848518242517,0.12714663837373813,0.12421037328029404,0.002936265093444093
SG,omega[1],Clean,moderateSN,++,50,0.3,A,137,-0.29402336821995534,0.4306569343065693,0.4918227896224891,0.18169711085969947,0.16190120098988,0.019795909869819467
SG,omega[1],Problematic,moderateSN,++,50,0.3,A,63,-0.21211418100344387,0.7619047619047619,0.3916198513204758,0.2180177131751301,0.20277456499587374,0.015243148179256372
SG,omega[2],Clean,moderateSN,++,50,0.3,A,137,-0.2860595958341878,0.5474452554744526,0.476147166692811,0.18915564850670416,0.15021224431723074,0.038943404189473424
SG,omega[2],Problematic,moderateSN,++,50,0.3,A,63,-0.21673952559734502,0.6825396825396826,0.38872754353382033,0.22002765447168304,0.18415150931978264,0.03587614515190041
SG,alpha[1],Clean,moderateSN,++,50,0.3,A,137,-0.8395829466161562,0.34306569343065696,3.46410961342715,1.2488785268357732,0.8495075196016346,0.39937100723413854
SG,alpha[1],Problematic,moderateSN,++,50,0.3,A,63,-0.5379440433275817,0.6666666666666666,2.815509886677311,3.1981482136738366,1.8157519714849963,1.3823962421888403
SG,alpha[2],Clean,moderateSN,++,50,0.3,A,137,-0.8256340218124005,0.34306569343065696,3.380200685061294,1.3826709807754942,0.7204249188520118,0.6622460619234825
SG,alpha[2],Problematic,moderateSN,++,50,0.3,A,63,-0.4991779395793736,0.6190476190476191,2.8729715776469793,4.0275970370652345,2.0656979063173866,1.961899130747848
SG,mu[1],Clean,moderateSN,++,50,0.3,A,137,-0.017884423380695225,0.9197080291970803,0.16251263355920223,0.14680754203796256,0.1615255505073039,-0.014718008469341348
