model,condition_id,rep_id,status,n_div,max_rhat
NG,1,1,ok,NA,1.000139421438056
SG,1,1,ok,NA,1.0024221710968304
NG,1,2,ok,NA,1.0018892181994317
SG,1,2,ok,NA,1.0025694522991881
NG,1,3,ok,NA,1.0011859061431856
SG,1,3,ok,NA,1.0039636627381854
NG,1,4,ok,NA,1.0008600049019136
SG,1,4,ok,NA,1.0028820133145244
NG,1,5,ok,NA,1.0011113766532271
SG,1,5,ok,NA,1.0014163964722123
NG,1,6,ok,NA,1.0015058430394732
SG,1,6,ok,NA,1.0016371885208906
NG,1,7,ok,NA,1.000308934615574
SG,1,7,ok,NA,1.0013423392549334
NG,1,8,ok,NA,1.000786918064501
SG,1,8,ok,NA,1.0035035863763888
NG,1,9,ok,NA,1.0004214861666694
SG,1,9,ok,NA,1.00259379570213
NG,1,10,ok,NA,1.000298055318161
SG,1,10,ok,NA,1.0032196634540878
NG,1,11,ok,NA,1.0006775407727928
SG,1,11,ok,NA,1.0021165353988273
NG,1,12,ok,NA,1.0018733027307491
SG,1,12,ok,NA,1.0043890109299223
NG,1,13,ok,NA,1.0007406657981022
SG,1,13,ok,NA,1.0025809943830357
NG,1,14,ok,NA,1.0005961276078121
SG,1,14,ok,NA,1.002596242355296
NG,1,15,ok,NA,1.0012481412887633
SG,1,15,ok,NA,1.0061514948549228
NG,1,16,ok,NA,1.001490464828757
SG,1,16,ok,NA,1.0043063692932694
NG,1,17,ok,NA,1.000505982572184
SG,1,17,ok,NA,1.0024518075042665
NG,1,18,ok,NA,1.00090257229595
SG,1,18,ok,NA,1.0030678876234835
NG,1,19,ok,NA,1.0004539865063924
SG,1,19,ok,NA,1.001609074499762
NG,1,20,ok,NA,1.0003157286935234
SG,1,20,ok,NA,1.0020759893554938
NG,1,21,ok,NA,1.0026040480214604
SG,1,21,ok,NA,1.0011174766777469
NG,1,22,ok,NA,1.000560451207989
SG,1,22,ok,NA,1.0014418804448346
NG,1,23,ok,NA,1.000813553875815
SG,1,23,ok,NA,1.0011556803531207
NG,1,24,ok,NA,1.0004459381707287
