condition_id,Model,param,dgp_level,direction,T,rho,VARset,N_valid,N_truth_avail,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
1,Exponential (EG),mu[1],Exponential,++,50,0.3,A,200,200,0.02619568918653655,0.975,0.13351860964625636,0.1413126008860344,0.1309236609246463,0.01038893996138809,0,0,1.0018166154542691
1,Exponential (EG),mu[2],Exponential,++,50,0.3,A,200,200,0.02610292431626959,0.955,0.14169770050283576,0.14182605631904396,0.13927266662892054,0.00255338969012342,0,0,1.0018166154542691
1,Exponential (EG),phi11,Exponential,++,50,0.3,A,200,200,-0.02484920961501154,0.935,0.054410202671243704,0.04833884400218151,0.05349460570718594,-0.00515576170500443,0,0,1.0018166154542691
1,Exponential (EG),phi12,Exponential,++,50,0.3,A,200,200,-0.02423966811460479,0.945,0.051231941424171756,0.04504374971134622,0.05117456601659367,-0.00613081630524745,0,0,1.0018166154542691
1,Exponential (EG),phi21,Exponential,++,50,0.3,A,200,200,-0.02907217815777063,0.93,0.051499411680285274,0.04777005684317803,0.05141728783188716,-0.00364723098870912,0,0,1.0018166154542691
1,Exponential (EG),phi22,Exponential,++,50,0.3,A,200,200,-0.02122181961030051,0.94,0.05188446154767258,0.04819478752363882,0.0511853382296178,-0.00299055070597897,0,0,1.0018166154542691
1,Exponential (EG),rho,Exponential,++,50,0.3,A,200,200,-0.1173515528165677,0.965,0.1202947010878412,0.12669178835598063,0.1150277804899829,0.01166400786599773,0,0,1.0018166154542691
1,Normal (NG),mu[1],Exponential,++,50,0.3,A,200,200,0.01114197077218879,0.95,0.15843468532083332,0.1480932885475595,0.15804241835666516,-0.00994912980910567,0,0,1.000983101748975
1,Normal (NG),mu[2],Exponential,++,50,0.3,A,200,200,0.01047775164814968,0.905,0.1706422279557667,0.150525546674074,0.17032024742263482,-0.01979470074856082,0,0,1.000983101748975
1,Normal (NG),phi11,Exponential,++,50,0.3,A,200,200,-0.1715966522021138,0.965,0.1378942258206141,0.13889323912415116,0.1195974571098851,0.01929578201426605,0,0,1.000983101748975
1,Normal (NG),phi12,Exponential,++,50,0.3,A,200,200,-0.1230410963127204,0.985,0.12383812841490166,0.14046745572601352,0.12322536644493012,0.01724208928108339,0,0,1.000983101748975
1,Normal (NG),phi21,Exponential,++,50,0.3,A,200,200,0.01736381310634356,0.985,0.12611484036184922,0.14403668388701063,0.12610288632477368,0.01793379756223695,0,0,1.000983101748975
