condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
1,Normal (NG),sigma[1],Clean,Exponential,++,50,0.3,A,200,-0.006449133699837541,0.695,0.19250543183641802,0.10423463302369174,0.19239737514074198,-0.08816274211705025
1,Normal (NG),sigma[2],Clean,Exponential,++,50,0.3,A,200,0.01133494540182135,0.69,0.21849423052670827,0.1059171461367178,0.21820001784187842,-0.11228287170516063
1,Normal (NG),mu[1],Clean,Exponential,++,50,0.3,A,200,0.011141970772188798,0.95,0.15843468532083332,0.1480932885475595,0.15804241835666516,-0.009949129809105672
1,Normal (NG),mu[2],Clean,Exponential,++,50,0.3,A,200,0.010477751648149685,0.905,0.1706422279557667,0.150525546674074,0.17032024742263482,-0.019794700748560823
1,Normal (NG),phi11,Clean,Exponential,++,50,0.3,A,200,-0.1715966522021138,0.965,0.1378942258206141,0.13889323912415116,0.1195974571098851,0.019295782014266058
1,Normal (NG),phi12,Clean,Exponential,++,50,0.3,A,200,-0.1230410963127204,0.985,0.12383812841490166,0.14046745572601352,0.12322536644493012,0.017242089281083395
1,Normal (NG),phi21,Clean,Exponential,++,50,0.3,A,200,0.017363813106343568,0.985,0.12611484036184922,0.14403668388701063,0.12610288632477368,0.017933797562236953
1,Normal (NG),phi22,Clean,Exponential,++,50,0.3,A,200,-0.18250381777091004,0.94,0.14312138152124013,0.13859323142497676,0.12310364287215536,0.015489588552821398
1,Normal (NG),rho,Clean,Exponential,++,50,0.3,A,200,-0.24601158729221845,0.9,0.15593367182557138,0.12905462164872553,0.13736213783871332,-0.00830751618998779
1,Exponential (EG),mu[1],Clean,Exponential,++,50,0.3,A,200,0.02619568918653655,0.975,0.13351860964625636,0.1413126008860344,0.1309236609246463,0.010388939961388094
1,Exponential (EG),mu[2],Clean,Exponential,++,50,0.3,A,200,0.026102924316269593,0.955,0.14169770050283576,0.14182605631904396,0.13927266662892054,0.00255338969012342
1,Exponential (EG),phi11,Clean,Exponential,++,50,0.3,A,200,-0.024849209615011535,0.935,0.05441020267124371,0.048338844002181504,0.05349460570718594,-0.0051557617050044385
1,Exponential (EG),phi12,Clean,Exponential,++,50,0.3,A,200,-0.02423966811460479,0.945,0.051231941424171756,0.045043749711346226,0.051174566016593676,-0.00613081630524745
