Model,T,skew_level,direction,VARset,rho,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,mean_bias,sd_bias,RMSE
Normal–Gaussian (NG),50,Exponential,++,A,0.3,sigma[1],-0.006442367078949596,0.695,0.10423609797775447,0.19240945158934716,-0.006442367078949596,-0.08817335361159269,0.19251727495082943
Normal–Gaussian (NG),50,Exponential,++,A,0.3,sigma[2],0.011297644542895136,0.69,0.1059125121569447,0.2180448003898053,0.011297644542895136,-0.11213228823286062,0.21833728895735527
Normal–Gaussian (NG),50,Exponential,++,A,0.3,mu[1],0.011156997930124143,0.95,0.14807477611520503,0.1580439275605504,0.011156997930124143,-0.009969151445345381,0.15843724827696706
Normal–Gaussian (NG),50,Exponential,++,A,0.3,mu[2],0.010486717727729444,0.905,0.15051834709997378,0.1703293304661317,0.010486717727729444,-0.019810983366157914,0.1706518446010525
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi11,-0.17159424425851869,0.965,0.13890079142752088,0.11959545766167053,-0.06863769770340748,0.01930533376585035,0.13789201223902992
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi12,-0.12289661258819583,0.985,0.1404673985620696,0.12322946929324576,-0.01228966125881958,0.01723792926882385,0.12384077630631815
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi21,0.017092259178623424,0.985,0.1440236001307035,0.12614757718449876,0.0017092259178623412,0.017876022946204745,0.12615915615902545
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi22,-0.18249254883932103,0.94,0.1385583797848059,0.12310625701256751,-0.07299701953572843,0.015452122772238383,0.14312133096343063
Normal–Gaussian (NG),50,Exponential,++,A,0.3,rho,-0.24596086444159665,0.9,0.12905083836487943,0.13736383089004064,-0.073788259332479,-0.008312992525161211,0.15592796173908277
Normal–Gaussian (NG),50,Exponential,++,A,0.5,sigma[1],-0.019409232357395924,0.69,0.10191611690319277,0.18845079768444675,-0.019409232357395924,-0.08653468078125398,0.18944767469833898
Normal–Gaussian (NG),50,Exponential,++,A,0.5,sigma[2],-0.028158045464380724,0.71,0.10096715521966142,0.18646984544154446,-0.028158045464380724,-0.08550269022188305,0.18858387731555318
Normal–Gaussian (NG),50,Exponential,++,A,0.5,mu[1],-0.008359931602964927,0.925,0.14587483381320432,0.15813967591695705,-0.008359931602964927,-0.012264842103752727,0.1583604924074387
Normal–Gaussian (NG),50,Exponential,++,A,0.5,mu[2],-0.01011081629222183,0.915,0.1448528789554842,0.1674768709650702,-0.01011081629222183,-0.02262399200958598,0.167781795539164
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi11,-0.20325288198496705,0.945,0.14718526667919518,0.1363806517520413,-0.08130115279398682,0.010804614927153872,0.1587751857751795
