Model,T,skew_level,direction,VARset,rho,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,mean_bias,sd_bias,RMSE
Normal–Gaussian (NG),50,Exponential,++,A,0.3,mu[1],0.011156997930124146,0.95,0.14807477611520503,0.15804392756055038,0.011156997930124146,-0.009969151445345353,0.15843724827696704
Normal–Gaussian (NG),50,Exponential,++,A,0.3,mu[2],0.010486717727729444,0.905,0.15051834709997378,0.17032933046613166,0.010486717727729444,-0.019810983366157886,0.17065184460105248
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi11,-0.17159424425851869,0.965,0.13890079142752088,0.11959545766167053,-0.06863769770340748,0.01930533376585035,0.13789201223902992
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi12,-0.12289661258819584,0.985,0.1404673985620696,0.12322946929324574,-0.012289661258819584,0.017237929268823865,0.12384077630631814
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi21,0.01709225917862342,0.985,0.1440236001307035,0.12614757718449876,0.0017092259178623419,0.017876022946204745,0.12615915615902545
Normal–Gaussian (NG),50,Exponential,++,A,0.3,phi22,-0.18249254883932106,0.94,0.1385583797848059,0.12310625701256751,-0.07299701953572843,0.015452122772238383,0.14312133096343063
Normal–Gaussian (NG),50,Exponential,++,A,0.3,rho,-0.24596086444159665,0.9,0.12905083836487943,0.13736383089004067,-0.073788259332479,-0.008312992525161239,0.1559279617390828
Normal–Gaussian (NG),50,Exponential,++,A,0.5,mu[1],-0.008359931602964926,0.925,0.14587483381320432,0.15813967591695702,-0.008359931602964926,-0.012264842103752699,0.15836049240743869
Normal–Gaussian (NG),50,Exponential,++,A,0.5,mu[2],-0.010110816292221825,0.915,0.1448528789554842,0.1674768709650702,-0.010110816292221825,-0.02262399200958598,0.167781795539164
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi11,-0.20325288198496705,0.945,0.14718526667919518,0.13638065175204128,-0.08130115279398682,0.0108046149271539,0.15877518577517946
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi12,-0.09158356049457392,0.96,0.1516661789667304,0.1542633332388862,-0.009158356049457392,-0.0025971542721557883,0.15453495225191058
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi21,0.00844689272124606,0.975,0.14858170620926464,0.14165070337275026,8.446892721246066e-4,0.006931002836514377,0.1416532218693289
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi22,-0.2157155972624632,0.945,0.147830365347164,0.141277293091018,-0.08628623890498528,0.006553072256146014,0.16554331326723407
Normal–Gaussian (NG),50,Exponential,++,A,0.5,rho,-0.19523301045502378,0.81,0.11575780859657735,0.13731291598835932,-0.09761650522751189,-0.021555107391781972,0.16847498030882532
Normal–Gaussian (NG),50,Exponential,++,B,0.3,mu[1],0.023659286617574927,0.895,0.15200182381479901,0.17693105386959684,0.023659286617574927,-0.02492923005479783,0.1785059093326009
Normal–Gaussian (NG),50,Exponential,++,B,0.3,mu[2],0.0042080946564601405,0.95,0.15063376055723612,0.15800023588128898,0.0042080946564601405,-0.007366475324052851,0.15805626403018858
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi11,-0.14001367343298132,0.945,0.1268888178800858,0.11284160448924346,-0.07700752038813972,0.014047213390842334,0.13661400330872603
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi12,0.04590743568549583,0.945,0.14790506583185753,0.13649963243264146,0.004590743568549583,0.01140543339921607,0.13657680835617153
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi21,-0.01892016158155068,0.98,0.12822527484174626,0.12694770411468123,-0.0018920161581550683,0.001277570727065025,0.1269618025436445
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi22,-0.1800890429358344,0.98,0.14381254728108792,0.11899840352205748,-0.0450222607339586,0.024814143759030433,0.1272305938145184
Normal–Gaussian (NG),50,Exponential,++,B,0.3,rho,-0.2669499105129782,0.925,0.12946515059641275,0.12927894224847525,-0.08008497315389344,1.862083479375054e-4,0.15207448120557385
Normal–Gaussian (NG),50,Exponential,++,B,0.5,mu[1],-0.016954084091068446,0.905,0.14564747440778314,0.17224015220920022,-0.016954084091068446,-0.02659267780141708,0.1730725599291103
Normal–Gaussian (NG),50,Exponential,++,B,0.5,mu[2],7.747740256575101e-4,0.915,0.15045849393328076,0.16819579481774607,7.747740256575101e-4,-0.017737300884465318,0.168197579260714
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi11,-0.1722079946746902,0.925,0.13448299120333002,0.11923856231737165,-0.0947143970710796,0.015244428885958367,0.1522782051248696
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi12,0.010817310179370784,0.96,0.15084908696517632,0.14100389746678463,0.0010817310179370785,0.009845189498391693,0.14100804673074044
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi21,-0.29592102770331125,0.975,0.14121365933493316,0.13694753416974978,-0.029592102770331127,0.0042661251651833765,0.14010824266096775
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi22,-0.18178077552134095,0.955,0.15263181853464802,0.1386002237993133,-0.04544519388033524,0.014031594735334718,0.145860507623006
Normal–Gaussian (NG),50,Exponential,++,B,0.5,rho,-0.20333518685219687,0.835,0.11630717068221663,0.1350721522628703,-0.10166759342609843,-0.018764981580653678,0.1690585279421848
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,mu[1],0.00965715979894185,0.91,0.15150903201531973,0.18629091292155048,0.00965715979894185,-0.034781880906230744,0.18654105438891194
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,mu[2],-0.019249368704972642,0.935,0.14926260383418438,0.17268951380174238,-0.019249368704972642,-0.023426909967558,0.17375904687993127
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi11,-0.1575912786974887,0.975,0.1355136194197167,0.1170404195682778,-0.06303651147899549,0.0184731998514389,0.13293630652368837
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi12,-0.07449592706274706,0.975,0.14169266666430644,0.13701600626994806,-0.007449592706274707,0.0046766603943583784,0.13721837488345293
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi21,-0.2898948235183759,0.945,0.1372310739385526,0.14437052094050593,-0.028989482351837594,-0.00713944700195332,0.14725229167541184
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi22,-0.232452043035218,0.9,0.1366627608771432,0.13239246619879858,-0.0929808172140872,0.004270294678344638,0.16178132610409496
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,rho,0.26339866481268553,0.885,0.12917006635044376,0.14116861517508533,0.07901959944380565,-0.011998548824641575,0.16177971135686584
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,mu[1],-0.006508747946866599,0.935,0.14604405818741173,0.1547985890254526,-0.006508747946866599,-0.00875453083804087,0.1549353638266836
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,mu[2],0.0032848630876438473,0.925,0.1457524689021765,0.15873657106131706,0.0032848630876438473,-0.01298410215914056,0.15877055557567696
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi11,-0.1974469800759761,0.95,0.14462888263203705,0.13621801856076696,-0.07897879203039045,0.008410864071270091,0.1574579250822299
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi12,-0.13157854696754975,0.925,0.14770371084895792,0.15170314115425548,-0.013157854696754977,-0.003999430305297563,0.15227269018536738
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi21,-0.11887692943048328,0.96,0.14718844228450728,0.13908486518692503,-0.011887692943048329,0.008103577097582249,0.139591965985057
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi22,-0.19243937710493664,0.97,0.14459698197431956,0.13674691754994747,-0.07697575084197465,0.007850064424372083,0.15692350262818472
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,rho,0.1668653008364708,0.8,0.11423793050772102,0.14020804694540648,0.0834326504182354,-0.02597011643768546,0.16315423250426814
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,mu[1],0.005752330335536852,0.905,0.149477307762941,0.17676393379205244,0.005752330335536852,-0.027286626029111444,0.17685750646758036
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,mu[2],0.011100757432287644,0.925,0.1461066883498268,0.1482251975382122,0.011100757432287644,-0.002118509188385409,0.14864029063754053
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi11,-0.1438140694560109,0.945,0.1268971447850763,0.11658671467921398,-0.07909773820080601,0.010310430105862314,0.14088617472334075
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi12,-0.08517378024778258,0.96,0.1474753348020238,0.13182422483644693,-0.008517378024778258,0.015651109965576865,0.13209909909665202
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi21,0.08394038830587615,0.97,0.12703786341115142,0.12191371152936865,0.008394038830587614,0.005124151881782765,0.1222023442768408
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi22,-0.1649626916616223,0.975,0.1414762007767285,0.13314111814721755,-0.04124067291540558,0.008335082629510965,0.13938203056350848
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,rho,0.22743949239952477,0.915,0.12880249279575426,0.1407635179246367,0.06823184771985742,-0.011961025128882447,0.1564287474276558
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,mu[1],0.021996183245293437,0.925,0.14961848432303393,0.16606878702665656,0.021996183245293437,-0.016450302703622632,0.1675191753258878
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,mu[2],0.0024432543374033355,0.915,0.14849367443865535,0.1593049466368137,0.0024432543374033355,-0.010811272198158334,0.15932368158787724
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi11,-0.15344410105639888,0.92,0.13222166659566634,0.12423234721333964,-0.08439425558101939,0.007989319382326693,0.15018677195149446
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi12,-0.29904488890686987,0.96,0.1511433929849746,0.141160889439553,-0.02990448889068699,0.0099825035454216,0.14429371144709988
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi21,0.0024145099199762918,0.975,0.1342019679849273,0.12556758882383334,2.4145099199762924e-4,0.008634379161093969,0.12556782096386324
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi22,-0.2422346666654883,0.955,0.14653037574529862,0.12888412683256945,-0.06055866666637207,0.017646248912729173,0.1424024938608963
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,rho,0.18284093020221387,0.84,0.1152879353016691,0.13066612442472644,0.09142046510110693,-0.015378189123057343,0.15947205871713327
Normal–Gaussian (NG),50,Exponential,--,A,0.3,mu[1],0.00200538903050623,0.93,0.15199535494382288,0.16551829703622192,0.00200538903050623,-0.013522942092399043,0.16553044505146075
Normal–Gaussian (NG),50,Exponential,--,A,0.3,mu[2],0.013842653291694436,0.905,0.14979947305887534,0.17287595510558793,0.013842653291694436,-0.023076482046712588,0.17342927925763663
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi11,-0.1566233758901776,0.975,0.13955355279092868,0.11276471698524547,-0.06264935035607105,0.02678883580568321,0.12899931200126707
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi12,-0.14408458691117448,0.99,0.14561905567538772,0.13291935357754367,-0.014408458691117449,0.012699702097844046,0.13369801134394524
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi21,0.1677956226869035,0.95,0.14047902035650445,0.13007412033353039,0.016779562268690353,0.010404900022974062,0.13115193666305733
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi22,-0.21062731723352476,0.96,0.13945512576981595,0.11622585717474945,-0.0842509268934099,0.023229268595066493,0.1435502300883003
Normal–Gaussian (NG),50,Exponential,--,A,0.3,rho,-0.20844132990682437,0.89,0.1281302835761339,0.14100347947984698,-0.0625323989720473,-0.01287319590371308,0.15424747047074364
Normal–Gaussian (NG),50,Exponential,--,A,0.5,mu[1],-0.009721100268712708,0.965,0.14717367835233436,0.1462354866021868,-0.009721100268712708,9.381917501475601e-4,0.1465582387046621
Normal–Gaussian (NG),50,Exponential,--,A,0.5,mu[2],-0.0018496679672111143,0.895,0.147639879373492,0.17779402073303346,-0.0018496679672111143,-0.030154141359541475,0.1778036419199766
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi11,-0.21255871592440334,0.94,0.1476191055814647,0.13238110339179923,-0.08502348636976134,0.015238002189665478,0.15733324432458395
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi12,0.37533491131292196,0.925,0.15197612474860708,0.15590273549448574,0.0375334911312922,-0.0039266107458786614,0.16035718222507644
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi21,-0.04305175903770806,0.925,0.14996274458602907,0.1483465745173824,-0.004305175903770807,0.0016161700686466718,0.14840903176897186
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi22,-0.17902294850494685,0.94,0.14887084738222142,0.13772017544778506,-0.07160917940197875,0.011150671934436363,0.1552247444835825
Normal–Gaussian (NG),50,Exponential,--,A,0.5,rho,-0.16438155400513377,0.87,0.1144499556171346,0.13127829484619002,-0.08219077700256688,-0.016828339229055425,0.15488484277684786
Normal–Gaussian (NG),50,Exponential,--,B,0.3,mu[1],0.0191421792402168,0.92,0.1499094977630006,0.17399197962113827,0.0191421792402168,-0.02408248185813766,0.17504180071784906
Normal–Gaussian (NG),50,Exponential,--,B,0.3,mu[2],0.007643956219594392,0.93,0.14910586444283225,0.14931008536189558,0.007643956219594392,-2.042209190633304e-4,0.14950562416666344
