Model,theta,T,mcmc_status,Count
Normal-Gaussian (NG),0.5,50,Clean,200
Normal-Gaussian (NG),0.5,50,Problematic,0
Normal-Gaussian (NG),0.5,50,Failed/Error,0
Normal-Gaussian (NG),0.5,100,Clean,200
Normal-Gaussian (NG),0.5,100,Problematic,0
Normal-Gaussian (NG),0.5,100,Failed/Error,0
Normal-Gaussian (NG),0.5,200,Clean,200
Normal-Gaussian (NG),0.5,200,Problematic,0
Normal-Gaussian (NG),0.5,200,Failed/Error,0
Normal-Gaussian (NG),1,50,Clean,200
Normal-Gaussian (NG),1,50,Problematic,0
Normal-Gaussian (NG),1,50,Failed/Error,0
Normal-Gaussian (NG),1,100,Clean,200
Normal-Gaussian (NG),1,100,Problematic,0
Normal-Gaussian (NG),1,100,Failed/Error,0
Normal-Gaussian (NG),1,200,Clean,200
Normal-Gaussian (NG),1,200,Problematic,0
Normal-Gaussian (NG),1,200,Failed/Error,0
Normal-Gaussian (NG),2,50,Clean,200
Normal-Gaussian (NG),2,50,Problematic,0
Normal-Gaussian (NG),2,50,Failed/Error,0
Normal-Gaussian (NG),2,100,Clean,200
Normal-Gaussian (NG),2,100,Problematic,0
Normal-Gaussian (NG),2,100,Failed/Error,0
Normal-Gaussian (NG),2,200,Clean,200
Normal-Gaussian (NG),2,200,Problematic,0
Normal-Gaussian (NG),2,200,Failed/Error,0
Normal-Gaussian (NG),4,50,Clean,200
Normal-Gaussian (NG),4,50,Problematic,0
Normal-Gaussian (NG),4,50,Failed/Error,0
Normal-Gaussian (NG),4,100,Clean,200
Normal-Gaussian (NG),4,100,Problematic,0
Normal-Gaussian (NG),4,100,Failed/Error,0
Normal-Gaussian (NG),4,200,Clean,200
Normal-Gaussian (NG),4,200,Problematic,0
Normal-Gaussian (NG),4,200,Failed/Error,0
Normal-Gaussian (NG),8,50,Clean,200
Normal-Gaussian (NG),8,50,Problematic,0
Normal-Gaussian (NG),8,50,Failed/Error,0
Normal-Gaussian (NG),8,100,Clean,200
Normal-Gaussian (NG),8,100,Problematic,0
Normal-Gaussian (NG),8,100,Failed/Error,0
Normal-Gaussian (NG),8,200,Clean,200
Normal-Gaussian (NG),8,200,Problematic,0
Normal-Gaussian (NG),8,200,Failed/Error,0
Normal-Clayton (NC),0.5,50,Clean,200
Normal-Clayton (NC),0.5,50,Problematic,0
Normal-Clayton (NC),0.5,50,Failed/Error,0
Normal-Clayton (NC),0.5,100,Clean,200
Normal-Clayton (NC),0.5,100,Problematic,0
Normal-Clayton (NC),0.5,100,Failed/Error,0
Normal-Clayton (NC),0.5,200,Clean,200
Normal-Clayton (NC),0.5,200,Problematic,0
Normal-Clayton (NC),0.5,200,Failed/Error,0
Normal-Clayton (NC),1,50,Clean,200
Normal-Clayton (NC),1,50,Problematic,0
Normal-Clayton (NC),1,50,Failed/Error,0
Normal-Clayton (NC),1,100,Clean,200
Normal-Clayton (NC),1,100,Problematic,0
Normal-Clayton (NC),1,100,Failed/Error,0
Normal-Clayton (NC),1,200,Clean,200
Normal-Clayton (NC),1,200,Problematic,0
Normal-Clayton (NC),1,200,Failed/Error,0
Normal-Clayton (NC),2,50,Clean,200
Normal-Clayton (NC),2,50,Problematic,0
Normal-Clayton (NC),2,50,Failed/Error,0
Normal-Clayton (NC),2,100,Clean,200
Normal-Clayton (NC),2,100,Problematic,0
Normal-Clayton (NC),2,100,Failed/Error,0
Normal-Clayton (NC),2,200,Clean,200
Normal-Clayton (NC),2,200,Problematic,0
Normal-Clayton (NC),2,200,Failed/Error,0
Normal-Clayton (NC),4,50,Clean,200
Normal-Clayton (NC),4,50,Problematic,0
Normal-Clayton (NC),4,50,Failed/Error,0
Normal-Clayton (NC),4,100,Clean,200
Normal-Clayton (NC),4,100,Problematic,0
Normal-Clayton (NC),4,100,Failed/Error,0
Normal-Clayton (NC),4,200,Clean,200
Normal-Clayton (NC),4,200,Problematic,0
Normal-Clayton (NC),4,200,Failed/Error,0
Normal-Clayton (NC),8,50,Clean,200
Normal-Clayton (NC),8,50,Problematic,0
Normal-Clayton (NC),8,50,Failed/Error,0
Normal-Clayton (NC),8,100,Clean,200
Normal-Clayton (NC),8,100,Problematic,0
Normal-Clayton (NC),8,100,Failed/Error,0
Normal-Clayton (NC),8,200,Clean,200
Normal-Clayton (NC),8,200,Problematic,0
Normal-Clayton (NC),8,200,Failed/Error,0
