Model,T,theta,VARset,direction,N_valid,mean_bias,coverage_95,param
Normal-Gaussian (NG),50,0.5,A,n/a,200,-0.028348720238262706,0.915,kendall_tau
Normal-Gaussian (NG),50,1,A,n/a,200,-0.042833899960531066,0.9,kendall_tau
Normal-Gaussian (NG),50,2,A,n/a,200,-0.05242955533179148,0.85,kendall_tau
Normal-Gaussian (NG),50,4,A,n/a,200,-0.08320793523233698,0.7,kendall_tau
Normal-Gaussian (NG),50,8,A,n/a,200,-0.08399493274768012,0.44,kendall_tau
Normal-Gaussian (NG),100,0.5,A,n/a,200,-0.012950183632546755,0.94,kendall_tau
Normal-Gaussian (NG),100,1,A,n/a,200,-0.021972150445088465,0.925,kendall_tau
Normal-Gaussian (NG),100,2,A,n/a,200,-0.03705911838924556,0.865,kendall_tau
Normal-Gaussian (NG),100,4,A,n/a,200,-0.05886176600529316,0.635,kendall_tau
Normal-Gaussian (NG),100,8,A,n/a,200,-0.07197398068192248,0.25,kendall_tau
Normal-Gaussian (NG),200,0.5,A,n/a,200,4.4032352601309734e-4,0.93,kendall_tau
Normal-Gaussian (NG),200,1,A,n/a,200,-0.01254737740779252,0.93,kendall_tau
Normal-Gaussian (NG),200,2,A,n/a,200,-0.03020156238312683,0.83,kendall_tau
Normal-Gaussian (NG),200,4,A,n/a,200,-0.05084152442094501,0.495,kendall_tau
Normal-Gaussian (NG),200,8,A,n/a,200,-0.06704440603821617,0.07,kendall_tau
Normal-Clayton (NC),50,0.5,A,n/a,200,0.015796424386828618,0.985,kendall_tau
Normal-Clayton (NC),50,1,A,n/a,200,-0.010250987692803715,0.975,kendall_tau
Normal-Clayton (NC),50,2,A,n/a,200,-0.00942198462513538,0.965,kendall_tau
Normal-Clayton (NC),50,4,A,n/a,200,-0.02095021439041359,0.95,kendall_tau
Normal-Clayton (NC),50,8,A,n/a,200,-0.0164816250043725,0.925,kendall_tau
Normal-Clayton (NC),100,0.5,A,n/a,200,0.007312962836404781,0.96,kendall_tau
Normal-Clayton (NC),100,1,A,n/a,200,-0.00907987972234631,0.955,kendall_tau
Normal-Clayton (NC),100,2,A,n/a,200,-0.0067367375142341306,0.945,kendall_tau
Normal-Clayton (NC),100,4,A,n/a,200,-0.00640064692412586,0.94,kendall_tau
Normal-Clayton (NC),100,8,A,n/a,200,-0.007964585342722602,0.94,kendall_tau
Normal-Clayton (NC),200,0.5,A,n/a,200,0.00507308471526422,0.965,kendall_tau
Normal-Clayton (NC),200,1,A,n/a,200,-0.0028845824168282244,0.955,kendall_tau
Normal-Clayton (NC),200,2,A,n/a,200,-0.00403340454499642,0.91,kendall_tau
Normal-Clayton (NC),200,4,A,n/a,200,-0.003071257587244103,0.94,kendall_tau
Normal-Clayton (NC),200,8,A,n/a,200,-0.004559489957865991,0.955,kendall_tau
