condition_id,Model,param,mcmc_status,T,theta,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
1,NC (Clayton copula),mu[1],Clean,50,0.5,A,200,-0.0060833076847203035,-0.0060833076847203035,0.915,0.15742518234976782,0.14946079242610266,0.15730760123233292,-0.00784680880623026
1,NC (Clayton copula),mu[2],Clean,50,0.5,A,200,-0.020326111616565178,-0.020326111616565178,0.955,0.14650029933923053,0.14968093315157732,0.1450833791067574,0.004597554044819929
1,NC (Clayton copula),phi11,Clean,50,0.5,A,200,-0.07659308256453466,-0.19148270641133666,0.94,0.14530606768531565,0.13731725973469486,0.12348017253564196,0.013837087199052897
1,NC (Clayton copula),phi12,Clean,50,0.5,A,200,-2.601301907472085e-4,-0.002601301907472081,0.96,0.12584622289391842,0.13595553808054292,0.1258459540428283,0.010109584037714614
1,NC (Clayton copula),phi21,Clean,50,0.5,A,200,-0.03370846928304284,-0.33708469283042836,0.93,0.1490238778927343,0.13779234134355176,0.1451614800171958,-0.0073691386736440545
1,NC (Clayton copula),phi22,Clean,50,0.5,A,200,-0.046591142270558,-0.116477855676395,0.92,0.14703090703549032,0.13541601082882404,0.13945376683906255,-0.004037756010238508
1,NC (Clayton copula),sigma[1],Clean,50,0.5,A,200,0.017373466067376764,0.017373466067376764,0.975,0.09836253668859432,0.10524976594343519,0.09681606943385367,0.00843369650958152
1,NC (Clayton copula),sigma[2],Clean,50,0.5,A,200,0.02046517325327265,0.02046517325327265,0.94,0.10449343360187328,0.10560357271158186,0.10246977285825627,0.0031337998533255834
1,NC (Clayton copula),theta,Clean,50,0.5,A,200,0.06603307433795014,0.13206614867590027,0.985,0.21591739961699333,0.23841728152994884,0.2055722660060037,0.03284501552394514
1,NG (Gaussian copula),mu[1],Clean,50,0.5,A,200,0.003999826917606755,0.003999826917606755,0.935,0.1581886598782128,0.149871750753103,0.15813808364430776,-0.008266332891204764
1,NG (Gaussian copula),mu[2],Clean,50,0.5,A,200,-0.010027641565432987,-0.010027641565432987,0.945,0.14670125737475975,0.15040422228208625,0.14635814060027785,0.0040460816818083944
1,NG (Gaussian copula),phi11,Clean,50,0.5,A,200,-0.0786476398684755,-0.19661909967118874,0.94,0.14967970510403883,0.1399391273559876,0.12735212154946854,0.012587005806519058
1,NG (Gaussian copula),phi12,Clean,50,0.5,A,200,0.004296487635298951,0.042964876352989505,0.965,0.13048277919293527,0.13903195626729925,0.13041202344842298,0.00861993281887627
1,NG (Gaussian copula),phi21,Clean,50,0.5,A,200,-0.02970342076071315,-0.2970342076071315,0.925,0.15040771839987652,0.14113281041641143,0.14744554435237636,-0.0063127339359649315
1,NG (Gaussian copula),phi22,Clean,50,0.5,A,200,-0.04628406329487414,-0.11571015823718535,0.93,0.14458102496685601,0.13846406714055673,0.13697247265557677,0.0014915944849799578
1,NG (Gaussian copula),sigma[1],Clean,50,0.5,A,200,0.01360725553020109,0.01360725553020109,0.955,0.10357145210451488,0.10624195541850909,0.10267369813137944,0.0035682572871296447
1,NG (Gaussian copula),sigma[2],Clean,50,0.5,A,200,0.01570615176659341,0.01570615176659341,0.945,0.10359326232896883,0.1065632348843784,0.10239570692486716,0.0041675279595112386
1,NG (Gaussian copula),rho,Clean,50,0.5,A,200,NA,NA,NA,NA,0.12703669892513123,0.13480712480282864,-0.007770425877697412
2,NC (Clayton copula),mu[1],Clean,100,0.5,A,200,0.012955460774789252,0.012955460774789252,0.935,0.11185345964338657,0.10384585507910196,0.1111006411786521,-0.007254786099550131
2,NC (Clayton copula),mu[2],Clean,100,0.5,A,200,0.011292657225349053,0.011292657225349053,0.935,0.11081783111493317,0.10316192236229746,0.1102409523988641,-0.007079030036566639
2,NC (Clayton copula),phi11,Clean,100,0.5,A,200,-0.047182786300958575,-0.11795696575239645,0.915,0.11274796527786517,0.09591330971114286,0.10240062671281248,-0.006487317001669629
2,NC (Clayton copula),phi12,Clean,100,0.5,A,200,0.0013425454784588805,0.013425454784588805,0.95,0.09927162192134176,0.09679006045327372,0.0992625432402983,-0.0024724827870245825
