sem_study,direction,T,n,rho,Model,param,N_valid,mean_bias,mean_rel_bias,RMSE,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_rhat
Study A: indicator-skew,++,100,100,0.3,EI: Exponential at indicator,mu[1],90,0.0188507149276592,0.0188507149276592,0.23942753898089217,0.8111111111111111,0.133445931427944,0.2386843039857518,-0.1052383725578078,6.437259274534827
Study A: indicator-skew,++,100,100,0.3,EI: Exponential at indicator,mu[2],90,-0.01725370234412781,-0.01725370234412781,0.32073372528378014,0.6,0.14851834026451116,0.32026931212626597,-0.1717509718617548,6.437259274534827
Study A: indicator-skew,++,100,100,0.3,EI: Exponential at indicator,rho,90,0.3941163481338659,1.3137211604462198,0.5561668056913862,0.288888888888889,0.2644391062358661,0.3924204631343599,-0.12798135689849383,6.437259274534827
Study A: indicator-skew,++,100,100,0.3,EL: Exponential at latent,mu[1],90,-0.04200258892975231,-0.04200258892975231,0.17282543487749313,0.9555555555555556,0.1755006323158441,0.1676437098843642,0.007856922431479896,1.1700650033011732
Study A: indicator-skew,++,100,100,0.3,EL: Exponential at latent,mu[2],90,-0.0567466886507307,-0.0567466886507307,0.2856985701395917,0.8111111111111111,0.17251911127619274,0.28000622547897797,-0.10748711420278523,1.1700650033011732
Study A: indicator-skew,++,100,100,0.3,EL: Exponential at latent,rho,90,0.32170740642019824,1.072358021400661,0.4784942992998139,0.1222222222222222,0.09835736021344132,0.3542049394302814,-0.2558475792168401,1.1700650033011732
Study A: indicator-skew,++,200,200,0.3,EI: Exponential at indicator,mu[1],90,0.01634819402239448,0.01634819402239448,0.26134526713706496,0.6333333333333333,0.1107424074424098,0.26083344342156356,-0.15009103597915374,16.246067482860948
Study A: indicator-skew,++,200,200,0.3,EI: Exponential at indicator,mu[2],90,6.272968366407793e-4,6.272968366407793e-4,0.3699369198299634,0.4555555555555556,0.1299939827856667,0.3699363879803655,-0.23994240519469878,16.246067482860948
Study A: indicator-skew,++,200,200,0.3,EI: Exponential at indicator,rho,90,0.37834228276517273,1.261140942550576,0.5812008653258572,0.32222222222222224,0.285039358621699,0.44119333962284984,-0.15615398100115085,16.246067482860948
Study A: indicator-skew,++,200,200,0.3,EL: Exponential at latent,mu[1],90,0.00471347808885487,0.00471347808885487,0.2046349319217416,0.9222222222222224,0.1935183573146005,0.2045806405477354,-0.011062283233134906,7.90170156541188
Study A: indicator-skew,++,200,200,0.3,EL: Exponential at latent,mu[2],90,0.01196685966142301,0.01196685966142301,0.29882607477672124,0.7333333333333333,0.1959457221483254,0.29858636478631506,-0.10264064263798967,7.90170156541188
Study A: indicator-skew,++,200,200,0.3,EL: Exponential at latent,rho,90,0.2639890324865566,0.8799634416218554,0.48230855632892095,0.34444444444444444,0.2494119678386592,0.40364753713468837,-0.15423556929602916,7.90170156541188
