model,condition_id,rep_id,status,n_div,max_rhat
EI,1,1,ok,0,1.0021392323803768
EL,1,1,ok,0,1.001110270678211
EI,1,2,ok,0,1.001878135305572
EL,1,2,ok,0,1.0016116178892158
EI,1,3,ok,0,1.005403102050452
EL,1,3,ok,0,1.0007692967702742
EI,1,4,ok,0,1.004729845011673
EL,1,4,ok,0,1.0004888996339178
EI,1,5,ok,0,1.007531664386656
EL,1,5,ok,0,1.0019551141301717
EI,1,6,ok,0,1.0041044150275382
EL,1,6,ok,0,1.0010531559485139
EI,1,7,ok,0,1.003246324984328
EL,1,7,ok,0,1.0014641116906093
EI,1,8,ok,0,1.0044229286764694
EL,1,8,ok,0,1.0003796216981675
EI,1,9,ok,0,1.0570463357503406
EL,1,9,ok,0,1.0008643349947277
EI,1,10,ok,0,1.0041674050484437
EL,1,10,ok,0,1.0021815554446554
EI,1,11,ok,0,1.0055966154117808
EL,1,11,ok,0,1.0007488049393813
EI,1,12,ok,0,1.0017253608412815
EL,1,12,ok,0,1.0006241925034314
EI,1,13,ok,0,1.00193721278075
EL,1,13,ok,0,1.0011560623170894
EI,1,14,ok,0,1.0074569072112902
EL,1,14,ok,0,1.0017742738322213
EI,1,15,ok,0,1.0035147676261467
EL,1,15,ok,0,1.0006741716844254
EI,1,16,ok,0,1.0086515069421023
EL,1,16,ok,0,1.0004598202382853
EI,1,17,ok,0,1.0046327889255307
EL,1,17,ok,0,1.000655344056086
EI,1,18,ok,0,1.0045819477576416
EL,1,18,ok,0,1.0018432279360725
EI,1,19,ok,0,1.003581384190054
EL,1,19,ok,0,1.001966607394039
EI,1,20,ok,1,1.0012997193004003
EL,1,20,ok,0,1.0012066699801598
EI,1,21,ok,0,1.0282112562765504
EL,1,21,ok,0,1.0020647215481577
EI,1,22,ok,0,1.0054420946450424
EL,1,22,ok,0,1.0007358979690657
EI,1,23,ok,0,1.0324483242406408
EL,1,23,ok,0,1.0008584680044292
EI,1,24,ok,0,1.0020616790327905
EL,1,24,ok,0,1.0004729883553132
EI,1,25,ok,0,1.0050177411233943
EL,1,25,ok,0,1.0013199379727558
