model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status
EI,1,1,mu[1],-0.27180559947800165,0.13114218946917783,-0.5341623591482095,-0.02123125773940744,0,-0.27180559947800165,-0.27180559947800165,0,0,1.0018237171255526,ok
EI,1,1,mu[2],-0.25997837968012827,0.13684563732204155,-0.5437288050632846,-0.0018883365386814144,0,-0.25997837968012827,-0.25997837968012827,0,0,1.0018237171255526,ok
EI,1,1,phi11,0.47041589714267784,0.12723457876756902,0.20595738223387047,0.7044439707906748,0.55,-0.0795841028573222,-0.1446983688314949,1,0,1.0018237171255526,ok
EI,1,1,phi12,-0.10955606886354709,0.11981714108249084,-0.3494104734565853,0.12154720308505303,0.1,-0.2095560688635471,-2.0955606886354707,1,0,1.0018237171255526,ok
EI,1,1,phi21,0.1349699316834684,0.12602198446947785,-0.11945370169496122,0.37548925765184976,0.1,0.0349699316834684,0.349699316834684,1,0,1.0018237171255526,ok
EI,1,1,phi22,0.23855023925320537,0.14269585744746777,-0.057462098553026406,0.501652664614026,0.25,-0.01144976074679463,-0.04579904298717852,1,0,1.0018237171255526,ok
EI,1,1,rho,0.9027482693764929,0.04597957083166397,0.7865032726200781,0.9588063945726278,0.3,0.602748269376493,2.0091608979216433,0,0,1.0018237171255526,ok
EI,1,1,sigma_exp[1],1.2221516980412728,0.1621737868320828,0.9457696937202773,1.5776167386152387,1,0.22215169804127277,0.22215169804127277,1,0,1.0018237171255526,ok
EI,1,1,sigma_exp[2],1.2960252371871437,0.18380908924565548,0.9793490087188726,1.6920112742025342,1,0.2960252371871437,0.2960252371871437,1,0,1.0018237171255526,ok
EI,1,2,mu[1],-0.12119767520476103,0.10854048370624603,-0.344713782833021,0.08702616660101528,0,-0.12119767520476103,-0.12119767520476103,1,4,1.0083980850351433,ok
EI,1,2,mu[2],-0.20688767815927248,0.14204333080517884,-0.4909706462750043,0.06586222220770539,0,-0.20688767815927248,-0.20688767815927248,1,4,1.0083980850351433,ok
EI,1,2,phi11,0.678740815815197,0.09118521842179396,0.4935751191078539,0.8513459958866783,0.55,0.12874081581519692,0.23407421057308528,1,4,1.0083980850351433,ok
EI,1,2,phi12,-0.038166731022984596,0.14471822697235462,-0.3316594364465975,0.24059144164729596,0.1,-0.1381667310229846,-1.381667310229846,1,4,1.0083980850351433,ok
EI,1,2,phi21,0.06419448220627393,0.10666756359763918,-0.15880356471460666,0.2620398029256334,0.1,-0.03580551779372608,-0.35805517793726077,1,4,1.0083980850351433,ok
EI,1,2,phi22,-0.03369804389775471,0.15127384157944312,-0.3198024195757784,0.26151516181904394,0.25,-0.2836980438977547,-1.1347921755910189,1,4,1.0083980850351433,ok
EI,1,2,rho,0.8925120156657885,0.053336583744462485,0.759770650584837,0.9574071387466156,0.3,0.5925120156657886,1.9750400522192955,0,4,1.0083980850351433,ok
EI,1,2,sigma_exp[1],1.22434795613213,0.16155172130911138,0.94739045919074,1.5804714925651977,1,0.22434795613213,0.22434795613213,1,4,1.0083980850351433,ok
EI,1,2,sigma_exp[2],1.2741362778987058,0.17120105209905193,0.971495972393312,1.6385306050677544,1,0.27413627789870576,0.27413627789870576,1,4,1.0083980850351433,ok
EI,1,3,mu[1],0.38523872386754265,0.1753684920819084,0.054088245718212594,0.736588748096759,0,0.38523872386754265,0.38523872386754265,0,0,1.0025666814348577,ok
