Model,T,Pattern,Margin_Fitted,param_label,mean_estimate,mean_truth,mean_bias,coverage_95
Const-Normal,100,Constant,Normal,Constant model: ρ,0.4520332996075022,0.5,-0.04796670039249776,0.8625
Const-Normal,100,Linear,Normal,Constant model: ρ,0.31875207665986316,0.365,-0.04624792334013686,0.9025
Const-Normal,100,Step,Normal,Constant model: ρ,0.5522056091135014,0.6,-0.04779439088649857,0.8575
Const-Normal,100,Random Walk,Normal,Constant model: ρ,0.40788820606196524,0.42869102955505123,-0.020802823493086008,0.8975
Const-Normal,200,Constant,Normal,Constant model: ρ,0.46247806978672834,0.5,-0.037521930213271666,0.8275
Const-Normal,200,Linear,Normal,Constant model: ρ,0.3682726035982018,0.399,-0.030727396401798217,0.8825
Const-Normal,200,Step,Normal,Constant model: ρ,0.5213309411170386,0.5499999999999999,-0.028669058882961302,0.88
Const-Normal,200,Random Walk,Normal,Constant model: ρ,0.40011664987178747,0.40814153239585593,-0.008024882524068465,0.85
TVP-Normal,100,Constant,Normal,TVP model: mean(ρ_t),0.4703691058824103,0.5,-0.02963089411758968,0.9
TVP-Normal,100,Linear,Normal,TVP model: mean(ρ_t),0.3377745347159963,0.365,-0.027225465284003724,0.9475
TVP-Normal,100,Step,Normal,TVP model: mean(ρ_t),0.5819386610557454,0.6,-0.01806133894425452,0.9325
TVP-Normal,100,Random Walk,Normal,TVP model: mean(ρ_t),0.4229480172032567,0.42869102955505123,-0.005743012351794555,0.94
TVP-Normal,200,Constant,Normal,TVP model: mean(ρ_t),0.47709529053063626,0.5,-0.022904709469363738,0.89
TVP-Normal,200,Linear,Normal,TVP model: mean(ρ_t),0.38320972971021616,0.399,-0.015790270289783838,0.9325
TVP-Normal,200,Step,Normal,TVP model: mean(ρ_t),0.541597129497763,0.5499999999999999,-0.00840287050223699,0.93
TVP-Normal,200,Random Walk,Normal,TVP model: mean(ρ_t),0.41189153736095174,0.40814153239585593,0.0037500049650957775,0.9025
Const-Exponential,100,Constant,Exponential,Constant model: ρ,0.520384304708406,0.5,0.020384304708406072,0.935
Const-Exponential,100,Linear,Exponential,Constant model: ρ,0.3881719404990569,0.365,0.023171940499056923,0.95
Const-Exponential,100,Step,Exponential,Constant model: ρ,0.6289628708612239,0.6,0.02896287086122401,0.895
Const-Exponential,100,Random Walk,Exponential,Constant model: ρ,0.4399340872894443,0.4235504290495541,0.016383658239890197,0.89
Const-Exponential,200,Constant,Exponential,Constant model: ρ,0.5200910644924012,0.5,0.020091064492401167,0.915
Const-Exponential,200,Linear,Exponential,Constant model: ρ,0.4213519993234355,0.399,0.022351999323435467,0.94
Const-Exponential,200,Step,Exponential,Constant model: ρ,0.5756802087992379,0.5499999999999999,0.025680208799237898,0.925
Const-Exponential,200,Random Walk,Exponential,Constant model: ρ,0.4128014617774937,0.39248575698572086,0.020315704791772846,0.89
TVP-Exponential,100,Constant,Exponential,TVP model: mean(ρ_t),0.5255233017882073,0.5,0.02552330178820727,0.93
TVP-Exponential,100,Linear,Exponential,TVP model: mean(ρ_t),0.393333116091379,0.365,0.028333116091379035,0.945
TVP-Exponential,100,Step,Exponential,TVP model: mean(ρ_t),0.6354652228619265,0.6,0.0354652228619266,0.91
TVP-Exponential,100,Random Walk,Exponential,TVP model: mean(ρ_t),0.44147206359926366,0.4235504290495541,0.01792163454970958,0.895
TVP-Exponential,200,Constant,Exponential,TVP model: mean(ρ_t),0.5215356708284266,0.5,0.021535670828426563,0.92
TVP-Exponential,200,Linear,Exponential,TVP model: mean(ρ_t),0.4208207847326078,0.399,0.021820784732607786,0.935
TVP-Exponential,200,Step,Exponential,TVP model: mean(ρ_t),0.5781641368108461,0.5499999999999999,0.028164136810846157,0.925
TVP-Exponential,200,Random Walk,Exponential,TVP model: mean(ρ_t),0.41050680989855903,0.39248575698572086,0.018021052912838162,0.905
