Model_Type,Margin_Fitted,T,Pattern,param,mean_rel_bias,coverage_95,RMSE,N
Constant,Exponential,100,Constant,phi11,-0.011917451220929708,0.965,0.024474267034411797,200
Constant,Exponential,100,Constant,phi12,0.039978999596397516,0.96,0.02440664502345599,200
Constant,Exponential,100,Constant,phi21,0.004484976610005662,0.97,0.0270821750369156,200
Constant,Exponential,100,Constant,phi22,-0.00698307254803885,0.95,0.028366521937164893,200
Constant,Exponential,100,Linear,phi11,-0.006337507856703234,0.96,0.023451750548324744,200
Constant,Exponential,100,Linear,phi12,-0.00348926455147024,0.955,0.023284173398813904,200
Constant,Exponential,100,Linear,phi21,-0.008302537617874887,0.94,0.025974251364138088,200
Constant,Exponential,100,Linear,phi22,-0.00991937601378416,0.97,0.02525791870807416,200
Constant,Exponential,100,Step,phi11,-0.012898792894483244,0.945,0.03270292611782922,200
Constant,Exponential,100,Step,phi12,0.03478383870052459,0.945,0.03119501581841921,200
Constant,Exponential,100,Step,phi21,0.026077798270456306,0.955,0.028638703504954188,200
Constant,Exponential,100,Step,phi22,-0.009944711111914391,0.95,0.025798812352849386,200
Constant,Exponential,100,Random Walk,phi11,-0.0012335467401148584,0.965,0.026913411213211266,200
Constant,Exponential,100,Random Walk,phi12,0.010704000057403669,0.93,0.03140363702850117,200
Constant,Exponential,100,Random Walk,phi21,0.031456181726354816,0.96,0.02821657223598499,200
Constant,Exponential,100,Random Walk,phi22,-0.006206846795735962,0.945,0.025859485219921333,200
Constant,Exponential,200,Constant,phi11,-0.0015771706464966758,0.955,0.012739982166703197,200
Constant,Exponential,200,Constant,phi12,0.004413956411893558,0.965,0.011260789977047823,200
Constant,Exponential,200,Constant,phi21,-0.008637165717583231,0.935,0.012806972828655259,200
Constant,Exponential,200,Constant,phi22,-8.529868181047193e-4,0.94,0.011894062028499661,200
Constant,Exponential,200,Linear,phi11,-0.005128021213487888,0.975,0.01233527697455972,200
Constant,Exponential,200,Linear,phi12,0.0141501091804595,0.955,0.012199430130556885,200
Constant,Exponential,200,Linear,phi21,-0.006370686494132486,0.95,0.010960700868383697,200
Constant,Exponential,200,Linear,phi22,6.041529216788289e-4,0.94,0.012575129066363126,200
Constant,Exponential,200,Step,phi11,-3.357510827480892e-5,0.965,0.01295840365656798,200
Constant,Exponential,200,Step,phi12,-0.003289259426874008,0.97,0.013449224161067242,200
Constant,Exponential,200,Step,phi21,-0.012771540942411085,0.975,0.011352005816414034,200
Constant,Exponential,200,Step,phi22,-0.0015927443145085842,0.975,0.010984746399344084,200
Constant,Exponential,200,Random Walk,phi11,-0.004236678057433869,0.965,0.012476047327242319,200
Constant,Exponential,200,Random Walk,phi12,0.0029437991473245393,0.955,0.012324521087037838,200
Constant,Exponential,200,Random Walk,phi21,0.004310918079635896,0.95,0.013612475134931626,200
Constant,Exponential,200,Random Walk,phi22,1.8048690951236526e-4,0.97,0.013237096650893105,200
Constant,Normal,100,Constant,phi11,-0.11448820652052893,0.9375,0.11280767835083366,400
Constant,Normal,100,Constant,phi12,-0.05268907290800997,0.9375,0.1082156870018757,400
Constant,Normal,100,Constant,phi21,-0.055287556732812604,0.9625,0.10332574525430938,400
Constant,Normal,100,Constant,phi22,-0.09749497819734716,0.9475,0.10449276606835614,400
Constant,Normal,100,Linear,phi11,-0.09931534330387676,0.95,0.09818865942162719,400
Constant,Normal,100,Linear,phi12,-0.02635030649078162,0.9525,0.09529929484663822,400
Constant,Normal,100,Linear,phi21,-0.1142986541110237,0.9525,0.10479079322682787,400
Constant,Normal,100,Linear,phi22,-0.09651227750650751,0.9425,0.10563436912586287,400
Constant,Normal,100,Step,phi11,-0.09611185868360993,0.945,0.11058693991384916,400
Constant,Normal,100,Step,phi12,-0.016402854577495598,0.97,0.10501212601507141,400
Constant,Normal,100,Step,phi21,-0.11161527047434185,0.9525,0.11092167570617277,400
Constant,Normal,100,Step,phi22,-0.06825105327776468,0.9575,0.10683635199257405,400
Constant,Normal,100,Random Walk,phi11,-0.10610949516971993,0.9675,0.1075121037254154,400
Constant,Normal,100,Random Walk,phi12,0.012318970208636863,0.955,0.10584067993526826,400
Constant,Normal,100,Random Walk,phi21,-0.12875210764909636,0.965,0.1084083302909741,400
Constant,Normal,100,Random Walk,phi22,-0.08017411576926618,0.945,0.11146255806925544,400
Constant,Normal,200,Constant,phi11,-0.03828557447461592,0.9425,0.07692817404673248,400
Constant,Normal,200,Constant,phi12,0.012373315131816451,0.9575,0.07804770550711382,400
Constant,Normal,200,Constant,phi21,-0.0684392297391584,0.9225,0.0796508665241421,400
Constant,Normal,200,Constant,phi22,-0.03148755025711588,0.965,0.07406228318351296,400
Constant,Normal,200,Linear,phi11,-0.07572220221415896,0.9425,0.07289297144386526,400
