condition_id,model,param,T,tvp_pattern,margin_type,direction,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,RMSE,mean_n_div,prop_div,mean_rhat
1,Const_NG,mu[1],100,constant,normal,++,A,200,-0.003063334412951793,-0.003063334412951793,0.93,0.10359833749074285,0.11178051381597762,-0.008182176325234769,0.11154278493181312,NA,NA,1.0013005982149532
1,Const_NG,mu[2],100,constant,normal,++,A,200,-0.0017049564880991103,-0.0017049564880991103,0.925,0.1039571479925666,0.11051188593053142,-0.006554737937964822,0.11024844408829308,NA,NA,1.0013005982149532
1,Const_NG,phi11,100,constant,normal,++,A,200,-0.04753806072882678,-0.11884515182206694,0.93,0.1075281612366428,0.1082127147341646,-6.845534975218059e-4,0.11794621185033718,NA,NA,1.0013005982149532
1,Const_NG,phi12,100,constant,normal,++,A,200,-0.006453548884338114,-0.06453548884338113,0.9,0.10738704315230174,0.11952667984092426,-0.012139636688622515,0.11940201987834367,NA,NA,1.0013005982149532
1,Const_NG,phi21,100,constant,normal,++,A,200,-0.00844843277589288,-0.08448432775892879,0.955,0.10845727692639187,0.10747257452797512,9.84702398416748e-4,0.10753594059969715,NA,NA,1.0013005982149532
1,Const_NG,phi22,100,constant,normal,++,A,200,-0.03792241733874991,-0.09480604334687477,0.94,0.10768568293119958,0.10325128405770849,0.004434398873491091,0.10975260023380813,NA,NA,1.0013005982149532
1,Const_NG,rho,100,constant,normal,++,A,200,-0.021236554899865964,-0.04247310979973193,0.94,0.07686984406358002,0.07687990420901838,-1.0060145438361978e-5,0.07957360326670475,NA,NA,1.0013005982149532
1,Const_NG,sigma[1],100,constant,normal,++,A,200,0.00758221143639249,0.00758221143639249,0.955,0.07255506680532327,0.07289664549021127,-3.415786848880026e-4,0.07310842119327343,NA,NA,1.0013005982149532
1,Const_NG,sigma[2],100,constant,normal,++,A,200,0.011824901137044286,0.011824901137044286,0.945,0.07286904798089118,0.07446965371310117,-0.001600605732209992,0.07521854136068665,NA,NA,1.0013005982149532
1,TVP_NG,mu[1],100,constant,normal,++,A,200,-0.002904745145392512,-0.002904745145392512,0.94,0.10373818515319556,0.1120427774994693,-0.008304592346273731,0.11180006088641584,NA,NA,1.0033063889786096
1,TVP_NG,mu[2],100,constant,normal,++,A,200,-0.0015142997940202074,-0.0015142997940202074,0.94,0.10427023844835727,0.10921594216778778,-0.004945703719430511,0.10895308401943356,NA,NA,1.0033063889786096
1,TVP_NG,phi11,100,constant,normal,++,A,200,-0.04852620037156473,-0.12131550092891183,0.925,0.10796069428850986,0.10893123016613374,-9.70535877623871e-4,0.11900199562814448,NA,NA,1.0033063889786096
1,TVP_NG,phi12,100,constant,normal,++,A,200,-0.005968697144905394,-0.05968697144905394,0.895,0.10774552297375513,0.12009994737372286,-0.012354424399967728,0.11994791668879767,NA,NA,1.0033063889786096
1,TVP_NG,phi21,100,constant,normal,++,A,200,-0.008578223072508813,-0.08578223072508812,0.955,0.10871197789465391,0.10724776502978392,0.0014642128648699876,0.10732268445881349,NA,NA,1.0033063889786096
