condition_id,model,param,T,tvp_pattern,N,mean_estimate,mean_truth,mean_bias,coverage_95,RMSE
1,TVP_NG,rho_end,100,constant,200,0.4713483130094575,0.5,-0.028651686990542505,0.995,0.12054467431674529
1,TVP_NG,rho_mean,100,constant,200,0.4862501971439994,0.5,-0.013749802856000607,0.945,0.07968949157603174
1,TVP_NG,rho_range,100,constant,200,0.38768986410695777,0,0.38768986410695777,0,0.4076274520697702
1,TVP_NG,rho_sd,100,constant,200,0.0953699509888944,0,0.0953699509888944,0,0.10081955890100681
1,TVP_NG,rho_start,100,constant,200,0.4780289306784652,0.5,-0.02197106932153479,1,0.10645655725307253
2,TVP_NG,rho_end,200,constant,200,0.4871668757861177,0.5,-0.01283312421388228,1,0.08731485481520848
2,TVP_NG,rho_mean,200,constant,200,0.487842987899324,0.5,-0.012157012100676004,0.95,0.05515682314559724
2,TVP_NG,rho_range,200,constant,200,0.3132868017632213,0,0.3132868017632213,0,0.3282261590979936
2,TVP_NG,rho_sd,200,constant,200,0.07312380915869703,0,0.07312380915869703,0,0.07670660506610659
2,TVP_NG,rho_start,200,constant,200,0.47368953775768174,0.5,-0.026310462242318273,1,0.08293871209627134
3,TVP_NG,rho_end,100,linear,200,0.2580378084764858,0.2,0.058037808476485764,0.99,0.15258841937253742
3,TVP_NG,rho_mean,100,linear,200,0.34339779145828003,0.365,-0.021602208541719944,0.955,0.09102942821997563
3,TVP_NG,rho_range,100,linear,200,0.5014566971416361,0.33,0.1714566971416361,0.98,0.24066747353395318
3,TVP_NG,rho_sd,100,linear,200,0.12764941441375802,0.09670497325294004,0.030944441160817977,0.98,0.057774994549580315
3,TVP_NG,rho_start,100,linear,200,0.4011884431270409,0.53,-0.12881155687295914,0.97,0.175092574642227
4,TVP_NG,rho_end,200,linear,200,0.2687526543050164,0.2,0.06875265430501638,0.98,0.14539914170278387
4,TVP_NG,rho_mean,200,linear,200,0.3956062443877234,0.399,-0.0033937556122766326,0.965,0.05862141917501004
4,TVP_NG,rho_range,200,linear,200,0.5358233942058953,0.39799999999999996,0.1378233942058953,0.98,0.22316905184271893
4,TVP_NG,rho_sd,200,linear,200,0.13233217639088884,0.11575836902790225,0.016573807362986588,0.985,0.04995371744729957
4,TVP_NG,rho_start,200,linear,200,0.5077602914240805,0.598,-0.09023970857591945,0.95,0.13452991417061572
5,TVP_NG,rho_end,100,step,200,0.6624092645269326,0.7,-0.0375907354730673,0.985,0.09629839327824678
