"T_fac","dgp_alpha1_fac","dgp_alpha2_fac","dgp_copula_fac","dgp_tau_fac","fit_type","fitted_model_code","parameter","param_category","n_reps_param","avg_bias","coverage","avg_post_sd","sd_est","avg_rel_bias"
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi11","VAR Coeffs",491,-0.0018658210385459,0.963340122199593,0.0282758646235047,0.0280301704490393,-0.0037316420770918
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi12","VAR Coeffs",491,-0.000688065704146632,0.945010183299389,0.0283020909573663,0.0273306253260715,-0.00229355234715544
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi21","VAR Coeffs",491,0.00167683307810294,0.957230142566191,0.0186018209893953,0.0180152425423466,0.00558944359367647
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","phi22","VAR Coeffs",491,-0.00265553594572594,0.945010183299389,0.0186078005529192,0.0189080515804911,-0.00531107189145188
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","mu[1]","Intercepts",491,-0.00172433387117137,0.959266802443992,0.0427354857780822,0.0418453461107366,NA
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","mu[2]","Intercepts",491,-0.000181388604250282,0.938900203665988,0.0427014497786683,0.0438439934437903,NA
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","theta","Copula Params",491,0.00818123309947853,0.961303462321792,0.129700233658098,0.126654769222249,0.0061359248246089
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","tau","Copula Params",491,-0.000282283156270938,0.961303462321792,0.0231914379402506,0.0225835441721937,-0.000705707890677344
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","xi[1]","Residual Params",491,-0.00287269984699397,0.967413441955194,0.0486355302308774,0.0472817560506487,-0.00220691578167296
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","xi[2]","Residual Params",491,0.0032973971161549,0.945010183299389,0.0473249912175066,0.048323588500305,0.00253318415486393
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","omega[1]","Residual Params",491,-0.00230022057026093,0.961303462321792,0.0590581603614107,0.0576081828018479,-0.00140133070058438
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","omega[2]","Residual Params",491,-0.00350611862123609,0.947046843177189,0.0578626266761135,0.059009713652421,-0.00213598283892895
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","alpha[1]","Residual Params",491,-0.553561660780757,0.95112016293279,2.20519019288274,2.26911255223989,-0.0615068511978619
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","alpha[2]","Residual Params",491,0.324068033024585,0.938900203665988,1.47494752229999,1.62155760913084,0.0360075592249539
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi11","VAR Coeffs",500,-0.00484706698644487,0.966,0.0472289320352558,0.045546186032343,-0.00969413397288974
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi12","VAR Coeffs",500,-0.00349057560635241,0.952,0.0472773587942481,0.0460240607257821,-0.0116352520211747
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi21","VAR Coeffs",500,0.0011702971607128,0.954,0.0472768153086744,0.0486773302666314,0.00390099053570933
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi22","VAR Coeffs",500,-0.0103296051743777,0.93,0.0472849143485333,0.0492553474103341,-0.0206592103487554
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","mu[1]","Intercepts",500,-0.000769444731746189,0.952,0.0451329132627617,0.0457488552878622,NA
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","mu[2]","Intercepts",500,0.00101237227096189,0.948,0.0451851308361266,0.04668698253393,NA
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","rho","Copula Params",500,NA,NA,0.032769623769757,0.0294000865144217,NA
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","sigma[1]","Residual Params",500,-0.000461010624803969,0.914,0.0317265882974246,0.0366387664776821,-0.000461010624803969
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","sigma[2]","Residual Params",500,0.000432574297711968,0.888,0.031765575276041,0.0396029654842256,0.000432574297711968
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi11","VAR Coeffs",491,-0.0029730336814743,0.945010183299389,0.0265444745239396,0.0260503134581415,-0.0059460673629486
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi12","VAR Coeffs",491,-3.37642325345768e-05,0.947046843177189,0.0264764115042632,0.0271202291166866,-0.000112547441781922
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi21","VAR Coeffs",491,0.000581421183017559,0.947046843177189,0.02644356525102,0.0264070799489291,0.00193807061005853
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi22","VAR Coeffs",491,-0.00254630983014009,0.95112016293279,0.0263481760269425,0.0268809518320709,-0.00509261966028017
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","mu[1]","Intercepts",491,0.000875072685082332,0.945010183299389,0.0426812220563502,0.0435980312828529,NA
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","mu[2]","Intercepts",491,-0.00188759939662252,0.957230142566191,0.0427506930139089,0.043664169225246,NA
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","rho","Copula Params",491,-0.00647935304912722,0.945010183299389,0.0293751017999096,0.030855561159807,-0.0110233338176766
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","xi[1]","Residual Params",491,-0.00751339678454862,0.955193482688391,0.0485063926508628,0.0488151500615812,-0.00577207324849557
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","xi[2]","Residual Params",491,0.00380621810547055,0.938900203665988,0.0484633455082785,0.0485929407228476,0.00292407952548268
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","omega[1]","Residual Params",491,-0.00813604517191399,0.94908350305499,0.059006118549653,0.0595615217295106,-0.0049566072176509
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","omega[2]","Residual Params",491,-0.00389220391337975,0.940936863543788,0.0590245614269696,0.059246558547878,-0.00237119209664967
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","alpha[1]","Residual Params",491,-0.431436140568296,0.945010183299389,2.05192117333807,2.09950779916002,-0.0479373489520329
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","alpha[2]","Residual Params",491,0.694549450851646,0.942973523421589,2.13287158145232,2.31640382188082,0.0771721612057385
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi11","VAR Coeffs",500,-0.00589049284695825,0.954,0.0476315370548931,0.0455272025886352,-0.0117809856939165
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi12","VAR Coeffs",500,-0.00345005545367887,0.962,0.0476220519455832,0.0453446570420337,-0.0115001848455962
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi21","VAR Coeffs",500,0.000977436510702265,0.952,0.0477731452646416,0.0458825151776193,0.00325812170234089
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi22","VAR Coeffs",500,-0.0109145262396351,0.954,0.0477200593998026,0.0477938099466554,-0.0218290524792702
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","mu[1]","Intercepts",500,0.00108351231026682,0.946,0.0451840393955176,0.0477534420249041,NA
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","mu[2]","Intercepts",500,-0.00129187263718388,0.946,0.0453052658120285,0.0474932254829918,NA
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","rho","Copula Params",500,-0.0613815909489251,0.52,0.0323565485260892,0.0276554253155981,-0.104428599917275
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","sigma[1]","Residual Params",500,-9.13208461288573e-06,0.91,0.0317323477444784,0.0367496457004384,-9.13208461288568e-06
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","sigma[2]","Residual Params",500,0.00224270679702503,0.904,0.0318314811253545,0.0367894197082239,0.00224270679702503
